threshold,precision,recall,f1
0.58,0.6470588235294118,0.09734513274336283,0.1692307692307692
0.584,0.6363636363636364,0.09292035398230089,0.16216216216216217
0.588,0.65625,0.09292035398230089,0.1627906976744186
0.6,0.6333333333333333,0.084070796460177,0.1484375
0.604,0.6428571428571429,0.07964601769911504,0.14173228346456693
0.612,0.6538461538461539,0.0752212389380531,0.13492063492063494
0.616,0.7083333333333334,0.0752212389380531,0.136
0.62,0.6956521739130435,0.07079646017699115,0.1285140562248996
0.624,0.6818181818181818,0.06637168141592921,0.12096774193548389
0.628,0.6666666666666666,0.061946902654867256,0.11336032388663968
0.632,0.6666666666666666,0.05309734513274336,0.09836065573770493
0.636,0.7058823529411765,0.05309734513274336,0.09876543209876543
0.64,0.75,0.05309734513274336,0.09917355371900827
0.652,0.6923076923076923,0.03982300884955752,0.07531380753138076
0.656,0.6666666666666666,0.035398230088495575,0.06722689075630253
0.66,0.6363636363636364,0.030973451327433628,0.0590717299578059
0.664,0.6,0.02654867256637168,0.05084745762711864
0.668,0.5555555555555556,0.022123893805309734,0.0425531914893617
0.672,0.625,0.022123893805309734,0.042735042735042736
0.676,0.5714285714285714,0.017699115044247787,0.034334763948497854
0.688,0.8,0.017699115044247787,0.034632034632034625
0.692,0.75,0.01327433628318584,0.02608695652173913
0.7,0.6666666666666666,0.008849557522123894,0.017467248908296942
0.716,0.5,0.004424778761061947,0.008771929824561403
0.736,0.0,0.0,0.0
1.0,1.0,0.0,0.0
